japanese,translation
行く,go
見る,"see, look at"
多い,"a lot of, many"
家,"home, household"
これ,"this, this one"
それ,"that, that one"
私,I
仕事,"work, job"
いつ,when
する,"do, make"
出る,"go out, leave"
使う,"use, make use of"
所,place
作る,"make, create"
思う,think
持つ,"have, possess"
買う,buy
時間,"time, hour"
知る,know
同じ,"same, identical"
今,now
新しい,new
なる,become
まだ,"(not) yet, still"
あと,after
聞く,"hear, ask"
言う,"say, tell"
少ない,"few, little"
高い,"high, tall"
子供,child
そう,"so, that way"
もう,"already, yet"
学生,student
熱い,hot (to touch)
どうぞ,please
午後,"afternoon, p.m."
長い,long
本,"book, volume"
今年,this year (colloquial)
よく,"often, well"
彼女,"she, one’s girlfriend"
どう,"how, what"
言葉,"word, language"
顔,face
終わる,"finish, end"
一つ,one (thing)
あげる,"give, offer (colloquial)"
こう,"like this, such"
学校,school
くれる,be given
始める,start (something)
起きる,"get up, get out of bed"
春,spring
午前,"morning, a.m."
別,"another, different"
どこ,where
部屋,room
若い,young
車,"car, automobile"
置く,"put, place"
住む,"live, reside"
働く,work
難しい,difficult
先生,teacher
立つ,"stand, rise"
呼ぶ,"call, name"
大学,"university, college"
安い,"cheap, inexpensive"
もっと,more
帰る,go back home
分かる,understand
広い,"wide, big"
数,number
近い,"near, close"
そこ,there
走る,run
入れる,put in
教える,"teach, tell"
歩く,"walk, go on foot"
会う,meet
書く,write
頭,head
売る,sell
大好き,like (something) a lot
体,"body, physique"
直ぐ,"at once, soon"
飛ぶ,fly
とても,very (colloquial)
誰,who
好き,"favorite, liked"
読む,read
次,next
あなた,you
飲む,drink
古い,old
質問,question
今日,today (colloquial)
友達,"friend, companion (colloquial)"
早い,early
どれ,"what, which"
美しい,beautiful
いつも,always (colloquial)
足,"leg, foot"
起こす,wake (someone) up
見せる,show
娘,"daughter, girl"
楽しむ,enjoy
色,color
みんな,everybody (colloquial)
取る,"take, get"
勉強,study
できる,"can do, be good at"
短い,"short, brief"
落ちる,"fall, come down"
息子,son
白い,"white, blank"
飛行機,airplane
病気,illness
冬,winter
年,"year, age"
重い,heavy
胸,"chest, breast"
払う,"pay (money, respect, attention, etc.)"
軽い,light (of weight)
見つける,find
忘れる,"forget, leave behind"
酒,"alcohol, rice wine"
どちら,which (polite)
姉,(one’s own) older sister
覚える,"memorize, learn"
狭い,"narrow, small"
赤い,red
着る,"wear, put on"
笑う,"laugh, smile"
一番,"most, best"
授業,"class session, lecture"
週,week
漢字,Chinese character
自転車,bicycle
電車,train
探す,"search for, look for"
紙,paper
歌う,sing
遅い,"slow, late"
首,neck
速い,fast
一緒に,"together, at the same time"
今月,this month
遊ぶ,play
遠い,"far, distant"
弱い,weak
耳,ear
座る,"sit, sit down"
右,right
浴びる,take (a shower)
肩,shoulder
寝る,"lie down and sleep, go to sleep"
消す,"switch off, turn off"
元気,"healthy, energetic"
全部,"all, whole"
去年,last year (colloquial)
引く,"draw, pull"
図書館,library
上げる,"raise, lift"
緑,green
腕,arm
ドア,door (loan word)
女の子,little girl
男の子,boy
私たち,we (colloquial)
近く,"near, close to"
やる,"do, give"
かなり,"fairly, rather"
国,country
起こる,happen
秋,"autumn, fall"
送る,send
死ぬ,die
気持ち,"feeling, sensation"
乗る,"ride, take"
いる,"be present, stay"
木,"tree, wood"
開ける,"open, unlock (doors, windows, etc.)"
閉める,"shut, close (doors, windows, etc.)"
続く,"continue, follow"
お医者さん,doctor (polite)
円,Japanese yen
ここ,here
待つ,"wait, wait for"
低い,"low, short"
もらう,receive
食べる,eat
兄,(one’s own) older brother
名前,name
夫,husband
一,one
結婚,marriage
親,parent
話す,"speak, talk"
少し,"a bit, a little while"
閉じる,"shut, close (books, eyes, etc.)"
時,"time, moment"
米,rice (grain)
切る,cut
楽しい,"fun, enjoyable"
服,clothes (colloquial)
後ろ,"back, behind"
嬉しい,"happy, glad"
腰,"waist, lower back"
日曜日,Sunday
昼,"daytime, midday"
お母さん,mother (colloquial)
大学生,university student
終わり,"end, conclusion"
背,"height, stature"
手伝う,"help, assist"
鼻,nose
起きる,"occur, happen, wake up, get up"
載せる,"place, put on"
悲しい,sad
しゃべる,"chat, talk"
近く,"in the near future, before long"
甘い,sweet
テーブル,table
食べ物,food (colloquial)
始まる,begin
ゲーム,game
十,ten
天気,weather
暑い,hot (of weather)
太い,"thick, fat"
晩,"evening, night (from sunset to bedtime)"
土曜日,Saturday
痛い,"sore, painful"
お父さん,"father, dad (colloquial)"
多分,"probably, perhaps"
時計,"clock, watch"
泊まる,stay overnight
どうして,how come
掛ける,"hang, put on"
曲がる,"make a turn, turn"
お腹,"stomach, belly"
ミーティング,meeting
嫌い,dislike (habitual)
金曜日,Friday
要る,"need, require"
無い,to not be
風邪,cold (illness)
黄色い,yellow
優しい,"gentle, kind"
晴れる,"be sunny, clear up"
汚い,dirty
茶色,brown
空く,"be empty, become less crowded"
上る,"go up, climb"
ご飯,"meal, cooked rice"
日,counter for days
髪の毛,"hair, each single hair"
つける,"switch on, turn on"
月曜日,Monday
入る,enter
カタカナ,katakana
今週,this week
開く,"open (books, eyes, etc.)"
水,water
あれ,that (over there)
二,two
締める,"tighten, fasten"
まずい,"bad (taste), distasteful"
平仮名,hiragana
曇る,become cloudy
触る,"touch, feel"
駄目,no good
飲み物,"beverage, drink"
木曜日,Thursday
曜日,day of the week
そば,"side, vicinity"
こっち,"here, this way (casual)"
火曜日,Tuesday
渇く,be thirsty
三,three
水曜日,Wednesday
二つ,two (things)
今晩,"this evening, tonight"
千,thousand
六日,"six days, sixth of the month"
お姉さん,older sister
直る,"be repaired, get fixed"
ちょっと,"just a moment, just a little"
四,four (Japanese origin)
これから,"from now on, after this"
考える,"think, consider"
戻る,return to a point of departure
変える,"change (something), alter"
朝,morning
歯,tooth
頑張る,"work hard, do one’s best"
携帯電話,cellular phone
雨,rain
金,money (colloquial)
易しい,"easy, simple (colloquial)"
お兄さん,older brother
大きい,big
小さい,small
辛い,"spicy, hot"
八,eight
あそこ,over there
来る,come
前,"front, before"
五日,"five days, fifth of the month"
いっぱい,full
酸っぱい,sour
違う,"differ, be wrong"
細い,"thin, slender"
三つ,three (things)
八日,"eight days, eighth of the month"
高校生,high school student
上手,"good, skilled"
強い,strong
七,seven (Japanese origin)
二十日,"20 days, 20th of the month"
左,left
二日,"two days, second of the month"
四つ,four (things)
暖かい,warm
ある,"exist, there is"
いい,good (informal/spoken form)
上,"up, above"
