ホテル,hoteru,hotel
円,en,Japanese yen
取り組む,torikumu,"work on, tackle"
どうぞ,douzo,please
ボート,bo-to,"light boat, small craft"
末,sue,"the end, in the end"
止む,yamu,"stop, cease"
故障,koshou,"malfunction, breakdown"
暴力,bouryoku,"violence, force"
ふらふら,furafura,"be dizzy, lightheaded"
植える,ueru,"plant, sow"
病気,byouki,illness
動く,ugoku,move
成果,seika,result
比べる,kuraberu,"compare, contrast"
番,ban,"one’s turn, watch"
書き方,kakikata,"how to write, way of writing"
上,ue,"up, above"
バレーボール,bare-ho-ru,volleyball
イカ,ika,squid
ひょっとしたら,hyottoshitara,perhaps
建物,tatemono,"building, structure"
連続,renzoku,"continuation, series"
最初,saisho,"first, outset"
企業,kigyou,"corporation, business"
民主,minshu,democracy
加工,kakou,processing
